Ing1,Ing2,Ing3,Ing4,Rank
butter,milk,cardamom,wheat flour,11
milk,sugar,vanilla sugar,butter,11
milk,sugar,vanilla sugar,baking powder,11
sugar,sugar juice,lemon,zest,11
sugar,vanilla sugar,lemon,flour,11
sugar,vanilla sugar,lemon,baking powder,11
sugar,lemon,flour,vanilla sugar,11
flour,bread flour,rye dough,golden syrup,11
bread flour,rye flour,rye dough,golden syrup,11
egg,butter,lemon,flour,11
cream,milk,plain flour,butter,11
cream,broth,flour,butter,11
butter,vanilla sugar,wheat flour,baking powder,11
butter,bread flour,wheat flour,yeast,11
bay leaf,onion,thyme,broth,11
flour,rye flour,wheat flour,butter,11
onion,pork,beef,butter,11
egg,cream,egg yolks,butter,11
egg,flour,cardamom,milk,11
cream,butter,pork,beef,11
cream,vegetables,onion,butter,11
butter,sugar,zest,wheat flour,11
butter,vanilla sugar,baking powder,wheat flour,11
butter,flour,beef,plain flour,11
milk,vanilla sugar,flour,baking powder,11
milk,flour,pastry,butter,11
sugar,lemon,baking powder,vanilla sugar,11
sugar,lemon,baking powder,wheat flour,11
zest,lemon,flour,butter,11
zest,lemon,flour,wheat flour,11
flour,wheat flour,pastry,butter,11
flour,wheat flour,pastry,sugar,11
egg,milk,cardamom,flour,11
butter,zest,lemon,flour,11
butter,zest,flour,lemon,11
butter,zest,flour,wheat flour,11
butter,yeast,bread flour,wheat flour,11
sugar,zest,baking powder,wheat flour,11
sugar,zest,wheat flour,butter,11
sugar,zest,wheat flour,lemon,11
sugar,zest,wheat flour,baking powder,11
sugar,flour,icing sugar,wheat flour,11
sugar,baking powder,cardamom,butter,11
golden syrup,flour,rye flour,bread flour,11
golden syrup,flour,rye flour,rye dough,11
zest,flour,baking powder,wheat flour,11
zest,flour,wheat flour,butter,11
zest,flour,wheat flour,lemon,11
zest,flour,wheat flour,baking powder,11
vanilla sugar,baking powder,wheat flour,butter,11
lemon,flour,baking powder,vanilla sugar,11
lemon,flour,baking powder,wheat flour,11
egg,lemon,flour,butter,11
cream,baking powder,wheat flour,butter,11
cream,pork,beef,butter,11
butter,milk,pastry,flour,11
butter,milk,flour,vanilla sugar,10
butter,milk,flour,onion,10
butter,milk,flour,potatoes,10
butter,sugar,flour,ground cinnamon,10
butter,sugar,flour,icing sugar,10
butter,flour,wheat flour,ground cinnamon,10
butter,flour,wheat flour,lemon,10
sugar,flour,wheat flour,ground cinnamon,10
sugar,flour,wheat flour,plain flour,10
sugar,flour,wheat flour,yeast,10
milk,sugar,flour,brown sugar,10
milk,sugar,flour,lemon,10
milk,sugar,flour,pastry,10
butter,sugar,wheat flour,ground cinnamon,10
butter,sugar,wheat flour,lemon,10
butter,sugar,wheat flour,yeast,10
butter,milk,sugar,breadcrumbs,10
milk,flour,wheat flour,vanilla sugar,10
milk,flour,wheat flour,plain flour,10
milk,flour,wheat flour,cheese,10
butter,plain flour,flour,nutmeg,10
butter,plain flour,flour,meat stock,10
